"","rg","ctr_n","ctr","yr","mn","unit_type","unit_name","unit_n","pty_n","pty","can","pev1","vot1","vv1","ivv1","to1","cv1","cvs1","pv1","pvs1","pev2","vot2","vv2","ivv2","to2","cv2","cvs2","pv2","pvs2"
"1","Latin America","Brazil",55,1989,11,"State","Acre",1,"PSDB",58,"Mário Covas",-990,-990,-990,-990,-990,-990,0.0290289831161499,-990,0.0290289831161499,-990,-990,-990,-990,-990,-990,-990,-990,-990
"2","Latin America","Brazil",55,1989,11,"State","Acre",1,"PT",67,"Luiz Inácio Lula da Silva",-990,-990,-990,-990,-990,-990,0.179314117431641,-990,0.179314117431641,-990,-990,-990,-990,-990,-990,-990,-990,-990
"3","Latin America","Brazil",55,1989,11,"State","Alagoas",2,"PSDB",58,"Mário Covas",-990,-990,-990,-990,-990,-990,0.0780526304244995,-990,0.0780526304244995,-990,-990,-990,-990,-990,-990,-990,-990,-990
"4","Latin America","Brazil",55,1989,11,"State","Alagoas",2,"PT",67,"Luiz Inácio Lula da Silva",-990,-990,-990,-990,-990,-990,0.0884848022460937,-990,0.0884848022460937,-990,-990,-990,-990,-990,-990,-990,-990,-990
"5","Latin America","Brazil",55,1989,11,"State","Amapá",3,"PSDB",58,"Mário Covas",-990,-990,-990,-990,-990,-990,0.0610536861419678,-990,0.0610536861419678,-990,-990,-990,-990,-990,-990,-990,-990,-990
"6","Latin America","Brazil",55,1989,11,"State","Amapá",3,"PT",67,"Luiz Inácio Lula da Silva",-990,-990,-990,-990,-990,-990,0.210459003448486,-990,0.210459003448486,-990,-990,-990,-990,-990,-990,-990,-990,-990
"7","Latin America","Brazil",55,1989,11,"State","Amazonas",4,"PSDB",58,"Mário Covas",-990,-990,-990,-990,-990,-990,0.0423393774032593,-990,0.0423393774032593,-990,-990,-990,-990,-990,-990,-990,-990,-990
"8","Latin America","Brazil",55,1989,11,"State","Amazonas",4,"PT",67,"Luiz Inácio Lula da Silva",-990,-990,-990,-990,-990,-990,0.240927677154541,-990,0.240927677154541,-990,-990,-990,-990,-990,-990,-990,-990,-990
"9","Latin America","Brazil",55,1989,11,"State","Bahia",5,"PSDB",58,"Mário Covas",-990,-990,-990,-990,-990,-990,0.0617104959487915,-990,0.0617104959487915,-990,-990,-990,-990,-990,-990,-990,-990,-990
"10","Latin America","Brazil",55,1989,11,"State","Bahia",5,"PT",67,"Luiz Inácio Lula da Silva",-990,-990,-990,-990,-990,-990,0.260159873962402,-990,0.260159873962402,-990,-990,-990,-990,-990,-990,-990,-990,-990
