"","id","rg","ctr_n","ctr","yr","mn","sub","unit_name","unit_type","unit_n","pty_n","pty","can","pev1","vot1","vv1","ivv1","to1","cv1","pv1","pvs1","pev2","vot2","vv2","ivv2","to2","cv2","cvs2","pv2","pvs2","unmarked"
"1",3,"Latin America","Colombia",57,2010,6,"amazonas","leticia","municipality",91001,"green alliance",158,"antanas mockus",-990,-990,-990,-990,-990,-990,-990,-990,-990,11321,11267,54,-990,4107,0.364515842726547,4107,0.364515842726547,117
"2",3,"Latin America","Colombia",57,2010,6,"amazonas","leticia","municipality",91001,"-990",4999,"blank",-990,-990,-990,-990,-990,-990,-990,-990,-990,11321,11267,54,-990,283,0.0251176000710038,283,0.0251176000710038,117
"3",3,"Latin America","Colombia",57,2010,6,"amazonas","leticia","municipality",91001,"social party of national unity",102,"juan manuel santos calderón",-990,-990,-990,-990,-990,-990,-990,-990,-990,11321,11267,54,-990,6760,0.599982249045886,6760,0.599982249045886,117
"4",3,"Latin America","Colombia",57,2010,6,"amazonas","el encanto","municipality",91263,"green alliance",158,"antanas mockus",-990,-990,-990,-990,-990,-990,-990,-990,-990,259,258,1,-990,143,0.554263565891473,143,0.554263565891473,3
"5",3,"Latin America","Colombia",57,2010,6,"amazonas","el encanto","municipality",91263,"-990",4999,"blank",-990,-990,-990,-990,-990,-990,-990,-990,-990,259,258,1,-990,2,0.00775193798449612,2,0.00775193798449612,3
"6",3,"Latin America","Colombia",57,2010,6,"amazonas","el encanto","municipality",91263,"social party of national unity",102,"juan manuel santos calderón",-990,-990,-990,-990,-990,-990,-990,-990,-990,259,258,1,-990,110,0.426356589147287,110,0.426356589147287,3
"7",3,"Latin America","Colombia",57,2010,6,"amazonas","la chorrera","municipality",91405,"green alliance",158,"antanas mockus",-990,-990,-990,-990,-990,-990,-990,-990,-990,423,418,5,-990,251,0.600478468899522,251,0.600478468899522,2
"8",3,"Latin America","Colombia",57,2010,6,"amazonas","la chorrera","municipality",91405,"-990",4999,"blank",-990,-990,-990,-990,-990,-990,-990,-990,-990,423,418,5,-990,4,0.00956937799043062,4,0.00956937799043062,2
"9",3,"Latin America","Colombia",57,2010,6,"amazonas","la chorrera","municipality",91405,"social party of national unity",102,"juan manuel santos calderón",-990,-990,-990,-990,-990,-990,-990,-990,-990,423,418,5,-990,161,0.385167464114833,161,0.385167464114833,2
"10",3,"Latin America","Colombia",57,2010,6,"amazonas","la pedrera","municipality",91407,"green alliance",158,"antanas mockus",-990,-990,-990,-990,-990,-990,-990,-990,-990,235,235,0,-990,155,0.659574468085106,155,0.659574468085106,3
