"","rg","ctr_n","ctr","yr","mn","sub","unit_type","unit_name","unit_n","pty_n","pty","can","pev1","vot1","vv1","ivv1","to1","cv1","cvs1","pv1","pvs1","pev2","vot2","vv2","ivv2","to2","cv2","cvs2","pv2","pvs2"
"1","Latin America","Mexico",52,1994,8,"aguascalientes","Municipality","aguascalientes",1,"PAN",3,"Diego Fernández de Cevallos",-990,-990,-990,-990,-990,-990,0.416125640869141,-990,0.416125640869141,-990,-990,-990,-990,-990,-990,-990,-990,-990
"2","Latin America","Mexico",52,1994,8,"aguascalientes","Municipality","aguascalientes",1,"PRD",9,"Cuauhtémoc Cárdenas",-990,-990,-990,-990,-990,-990,0.0912924480438232,-990,0.0912924480438232,-990,-990,-990,-990,-990,-990,-990,-990,-990
"3","Latin America","Mexico",52,1994,8,"aguascalientes","Municipality","aguascalientes",1,"PRI",21,"Ernesto Zedillo",-990,-990,-990,-990,-990,-990,0.425363235473633,-990,0.425363235473633,-990,-990,-990,-990,-990,-990,-990,-990,-990
"4","Latin America","Mexico",52,1994,8,"aguascalientes","Municipality","jesús maría",2,"PAN",3,"Diego Fernández de Cevallos",-990,-990,-990,-990,-990,-990,0.292029247283936,-990,0.292029247283936,-990,-990,-990,-990,-990,-990,-990,-990,-990
"5","Latin America","Mexico",52,1994,8,"aguascalientes","Municipality","jesús maría",2,"PRD",9,"Cuauhtémoc Cárdenas",-990,-990,-990,-990,-990,-990,0.0814696311950684,-990,0.0814696311950684,-990,-990,-990,-990,-990,-990,-990,-990,-990
"6","Latin America","Mexico",52,1994,8,"aguascalientes","Municipality","jesús maría",2,"PRI",21,"Ernesto Zedillo",-990,-990,-990,-990,-990,-990,0.574010314941406,-990,0.574010314941406,-990,-990,-990,-990,-990,-990,-990,-990,-990
"7","Latin America","Mexico",52,1994,8,"baja california","Municipality","mexicali",3,"PAN",3,"Diego Fernández de Cevallos",-990,-990,-990,-990,-990,-990,0.357675743103027,-990,0.357675743103027,-990,-990,-990,-990,-990,-990,-990,-990,-990
"8","Latin America","Mexico",52,1994,8,"baja california","Municipality","mexicali",3,"PRD",9,"Cuauhtémoc Cárdenas",-990,-990,-990,-990,-990,-990,0.0747217464447021,-990,0.0747217464447021,-990,-990,-990,-990,-990,-990,-990,-990,-990
"9","Latin America","Mexico",52,1994,8,"baja california","Municipality","mexicali",3,"PRI",21,"Ernesto Zedillo",-990,-990,-990,-990,-990,-990,0.522611045837402,-990,0.522611045837402,-990,-990,-990,-990,-990,-990,-990,-990,-990
"10","Latin America","Mexico",52,1994,8,"baja california","Municipality","tijuana",4,"PAN",3,"Diego Fernández de Cevallos",-990,-990,-990,-990,-990,-990,0.391877708435059,-990,0.391877708435059,-990,-990,-990,-990,-990,-990,-990,-990,-990
"11","Latin America","Mexico",52,1994,8,"baja california","Municipality","tijuana",4,"PRD",9,"Cuauhtémoc Cárdenas",-990,-990,-990,-990,-990,-990,0.072271876335144,-990,0.072271876335144,-990,-990,-990,-990,-990,-990,-990,-990,-990
"12","Latin America","Mexico",52,1994,8,"baja california","Municipality","tijuana",4,"PRI",21,"Ernesto Zedillo",-990,-990,-990,-990,-990,-990,0.499621505737305,-990,0.499621505737305,-990,-990,-990,-990,-990,-990,-990,-990,-990
"13","Latin America","Mexico",52,1994,8,"baja california","Municipality","ensenada",5,"PAN",3,"Diego Fernández de Cevallos",-990,-990,-990,-990,-990,-990,0.360232429504395,-990,0.360232429504395,-990,-990,-990,-990,-990,-990,-990,-990,-990
"14","Latin America","Mexico",52,1994,8,"baja california","Municipality","ensenada",5,"PRD",9,"Cuauhtémoc Cárdenas",-990,-990,-990,-990,-990,-990,0.0949403762817383,-990,0.0949403762817383,-990,-990,-990,-990,-990,-990,-990,-990,-990
"15","Latin America","Mexico",52,1994,8,"baja california","Municipality","ensenada",5,"PRI",21,"Ernesto Zedillo",-990,-990,-990,-990,-990,-990,0.496660041809082,-990,0.496660041809082,-990,-990,-990,-990,-990,-990,-990,-990,-990
"16","Latin America","Mexico",52,1994,8,"baja california","Municipality","mexicali",6,"PAN",3,"Diego Fernández de Cevallos",-990,-990,-990,-990,-990,-990,0.338009338378906,-990,0.338009338378906,-990,-990,-990,-990,-990,-990,-990,-990,-990
"17","Latin America","Mexico",52,1994,8,"baja california","Municipality","mexicali",6,"PRD",9,"Cuauhtémoc Cárdenas",-990,-990,-990,-990,-990,-990,0.0928544139862061,-990,0.0928544139862061,-990,-990,-990,-990,-990,-990,-990,-990,-990
"18","Latin America","Mexico",52,1994,8,"baja california","Municipality","mexicali",6,"PRI",21,"Ernesto Zedillo",-990,-990,-990,-990,-990,-990,0.52640739440918,-990,0.52640739440918,-990,-990,-990,-990,-990,-990,-990,-990,-990
"19","Latin America","Mexico",52,1994,8,"baja california","Municipality","tijuana",7,"PAN",3,"Diego Fernández de Cevallos",-990,-990,-990,-990,-990,-990,0.415737915039062,-990,0.415737915039062,-990,-990,-990,-990,-990,-990,-990,-990,-990
"20","Latin America","Mexico",52,1994,8,"baja california","Municipality","tijuana",7,"PRD",9,"Cuauhtémoc Cárdenas",-990,-990,-990,-990,-990,-990,0.0691947412490845,-990,0.0691947412490845,-990,-990,-990,-990,-990,-990,-990,-990,-990
"21","Latin America","Mexico",52,1994,8,"baja california","Municipality","tijuana",7,"PRI",21,"Ernesto Zedillo",-990,-990,-990,-990,-990,-990,0.477425117492676,-990,0.477425117492676,-990,-990,-990,-990,-990,-990,-990,-990,-990
"22","Latin America","Mexico",52,1994,8,"baja california","Municipality","tijuana",8,"PAN",3,"Diego Fernández de Cevallos",-990,-990,-990,-990,-990,-990,0.385500564575195,-990,0.385500564575195,-990,-990,-990,-990,-990,-990,-990,-990,-990
"23","Latin America","Mexico",52,1994,8,"baja california","Municipality","tijuana",8,"PRD",9,"Cuauhtémoc Cárdenas",-990,-990,-990,-990,-990,-990,0.0884994125366211,-990,0.0884994125366211,-990,-990,-990,-990,-990,-990,-990,-990,-990
"24","Latin America","Mexico",52,1994,8,"baja california","Municipality","tijuana",8,"PRI",21,"Ernesto Zedillo",-990,-990,-990,-990,-990,-990,0.478041534423828,-990,0.478041534423828,-990,-990,-990,-990,-990,-990,-990,-990,-990
"25","Latin America","Mexico",52,1994,8,"baja california sur","Municipality","la paz",9,"PAN",3,"Diego Fernández de Cevallos",-990,-990,-990,-990,-990,-990,0.312295799255371,-990,0.312295799255371,-990,-990,-990,-990,-990,-990,-990,-990,-990
