id,rg,ctr_n,ctr,yr,mn,unit_type,unit_name,unit_n,pty_n,pty,can,pev1,vot1,vv1,ivv1,to1,cv1,cvs1,pv1,pvs1,pev2,vot2,vv2,ivv2,to2,cv2,cvs2,pv2,pvs2
5,Latin America,Uruguay,598,1989,11,Department,Artigas,1,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,41020,41020,-990,-990,19061,0.445350456,19061,0.445350456,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Artigas,1,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,41020,41020,-990,-990,19766,0.461822433,19766,0.461822433,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Artigas,1,FrenteAmplio,13,Liber Seregni,-990,41020,41020,-990,-990,2193,0.051238317,2193,0.051238317,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Canelones,2,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,192828,192828,-990,-990,70153,0.331085281,70153,0.331085281,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Canelones,2,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,192828,192828,-990,-990,87251,0.41177887,87251,0.41177887,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Canelones,2,FrenteAmplio,13,Liber Seregni,-990,192828,192828,-990,-990,35424,0.167182655,35424,0.167182655,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Cerro Largo,3,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,51259,51259,-990,-990,15675,0.294626236,15675,0.294626236,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Cerro Largo,3,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,51259,51259,-990,-990,32577,0.612315102,32577,0.612315102,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Cerro Largo,3,FrenteAmplio,13,Liber Seregni,-990,51259,51259,-990,-990,3007,0.05651937,3007,0.05651937,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Colonia,4,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,75792,75792,-990,-990,26249,0.328642426,26249,0.328642426,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Colonia,4,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,75792,75792,-990,-990,40476,0.506767159,40476,0.506767159,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Colonia,4,FrenteAmplio,13,Liber Seregni,-990,75792,75792,-990,-990,9067,0.113520555,9067,0.113520555,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Durazno,5,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,34084,34084,-990,-990,10776,0.305044441,10776,0.305044441,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Durazno,5,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,34084,34084,-990,-990,21239,0.601228561,21239,0.601228561,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Durazno,5,FrenteAmplio,13,Liber Seregni,-990,34084,34084,-990,-990,2069,0.058568759,2069,0.058568759,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Flores,6,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,16375,16375,-990,-990,5544,0.323831787,5544,0.323831787,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Flores,6,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,16375,16375,-990,-990,9480,0.553738327,9480,0.553738327,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Flores,6,FrenteAmplio,13,Liber Seregni,-990,16375,16375,-990,-990,1351,0.07891355,1351,0.07891355,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Florida,7,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,41986,41986,-990,-990,15224,0.337060242,15224,0.337060242,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Florida,7,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,41986,41986,-990,-990,22540,0.499036903,22540,0.499036903,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Florida,7,FrenteAmplio,13,Liber Seregni,-990,41986,41986,-990,-990,4222,0.093475323,4222,0.093475323,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Lavalleja,8,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,41768,41768,-990,-990,16629,0.3765625,16629,0.3765625,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Lavalleja,8,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,41768,41768,-990,-990,22888,0.518297119,22888,0.518297119,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Lavalleja,8,FrenteAmplio,13,Liber Seregni,-990,41768,41768,-990,-990,2251,0.05097373,2251,0.05097373,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Maldonado,9,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,58359,58359,-990,-990,22331,0.345162849,22331,0.345162849,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Maldonado,9,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,58359,58359,-990,-990,28584,0.441813393,28584,0.441813393,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Maldonado,9,FrenteAmplio,13,Liber Seregni,-990,58359,58359,-990,-990,7444,0.115059433,7444,0.115059433,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Montevideo,10,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,780372,780372,-990,-990,226372,0.249637737,226372,0.249637737,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Montevideo,10,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,780372,780372,-990,-990,241222,0.266013966,241222,0.266013966,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Montevideo,10,FrenteAmplio,13,Liber Seregni,-990,780372,780372,-990,-990,312778,0.34492424,312778,0.34492424,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Paysandú,11,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,62037,62037,-990,-990,21099,0.318571644,21099,0.318571644,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Paysandú,11,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,62037,62037,-990,-990,34026,0.513755112,34026,0.513755112,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Paysandú,11,FrenteAmplio,13,Liber Seregni,-990,62037,62037,-990,-990,6912,0.104363585,6912,0.104363585,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Río Negro,12,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,29043,29043,-990,-990,13527,0.44961113,13527,0.44961113,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Río Negro,12,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,29043,29043,-990,-990,12302,0.408894501,12302,0.408894501,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Río Negro,12,FrenteAmplio,13,Liber Seregni,-990,29043,29043,-990,-990,3214,0.106827097,3214,0.106827097,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Rivera,13,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,60130,60130,-990,-990,26299,0.428559799,26299,0.428559799,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Rivera,13,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,60130,60130,-990,-990,30509,0.497164536,30509,0.497164536,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Rivera,13,FrenteAmplio,13,Liber Seregni,-990,60130,60130,-990,-990,3322,0.054134212,3322,0.054134212,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Rocha,14,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,43644,43644,-990,-990,17758,0.390157089,17758,0.390157089,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Rocha,14,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,43644,43644,-990,-990,23134,0.50827198,23134,0.50827198,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Rocha,14,FrenteAmplio,13,Liber Seregni,-990,43644,43644,-990,-990,2752,0.060463581,2752,0.060463581,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Salto,15,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,63902,63902,-990,-990,24503,0.361395836,24503,0.361395836,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Salto,15,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,63902,63902,-990,-990,33628,0.495980873,33628,0.495980873,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Salto,15,FrenteAmplio,13,Liber Seregni,-990,63902,63902,-990,-990,5771,0.085116739,5771,0.085116739,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,San José,16,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,52555,52555,-990,-990,14938,0.263349972,14938,0.263349972,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,San José,16,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,52555,52555,-990,-990,31716,0.55913826,31716,0.55913826,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,San José,16,FrenteAmplio,13,Liber Seregni,-990,52555,52555,-990,-990,5901,0.104031878,5901,0.104031878,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Soriano,17,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,51749,51749,-990,-990,18948,0.347580452,18948,0.347580452,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Soriano,17,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,51749,51749,-990,-990,27284,0.5004953,27284,0.5004953,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Soriano,17,FrenteAmplio,13,Liber Seregni,-990,51749,51749,-990,-990,5517,0.101203365,5517,0.101203365,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Tacuarembó,18,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,54371,54371,-990,-990,20183,0.358789749,20183,0.358789749,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Tacuarembó,18,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,54371,54371,-990,-990,30448,0.541268921,30448,0.541268921,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Tacuarembó,18,FrenteAmplio,13,Liber Seregni,-990,54371,54371,-990,-990,3740,0.066485343,3740,0.066485343,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Treinta y Tres,19,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,30083,30083,-990,-990,11695,0.376480827,11695,0.376480827,-990,-990,-990,-990,-990,-990,-990,-990,-990
